Security,Ticker,Cost Basis,Shares,Cur Price,Position_Value,Daily_Change_Pct,YTD_Pct,YoY_Pct,Port_Gain_Pct,Pct_Below_52wk,Chan_Range,Week_52_High,Week_52_Low,Sector,Industry
Invesco S&P 500 Momentum ETF,SPMO,97.4,14301,120.05000305175781,1716835.0936431885,-0.3486329913584616,0.3175439864852545,26.795585875814705,23.254623256424853,3.381651689919419,90.95792534621361,124.25176496132724,77.78276232143054,N/A,N/A
ASML Holding N.V.,ASML,660.32,1042,1279.1700439453125,1332895.1857910156,-0.1607780456935493,9.915105238414606,77.53309401826112,93.7197183101091,0.9531651058942112,98.28369326695804,1291.47998046875,574.2459169736106,Technology,Semiconductor Equipment & Materials
Monster Beverage Corporation,MNST,50.01,8234,77.75,640193.5,0.3225806451612903,2.0877051752055906,55.53110099912405,55.46890621875625,1.3387479234696362,96.81316925007118,78.80500030517578,45.70000076293945,Consumer Defensive,Beverages - Non-Alcoholic
MSCI Inc.,MSCI,342.94,2016,585.4199829101562,1180206.685546875,-0.17903521841193482,3.5683295727830604,2.124219576333681,70.70624100721884,6.636073526737422,71.27859658926471,627.030165743734,482.1549929030331,Financial Services,Financial Data & Stock Exchanges
Costco Wholesale Corporation,COST,655.21,798,941.0050048828125,750921.9938964844,-0.22002504235370426,10.123464585466648,2.294296081155877,43.618840506526524,12.36829680228772,42.194398112759046,1073.8180025552424,844.0599975585938,Consumer Defensive,Discount Stores
Broadcom Inc.,AVGO,138.0,6088,357.0199890136719,2173537.6931152344,1.3656618708408306,2.7041004627238165,59.90329121374147,158.7101369664289,13.725399298170254,79.4611859089834,413.81818763503134,137.27739823179985,Technology,Semiconductors
Mastercard Incorporated,MA,418.76,1389,546.1649780273438,758623.1544799805,-3.5521385584632434,-2.866946634588456,8.795324181389189,30.424342828193655,8.98392272535075,60.6947838158452,600.0752772273864,462.9171480176159,Financial Services,Credit Services
Fair Isaac Corporation,FICO,1850.0,778,1619.3499755859375,1259854.2810058594,-0.7331581721578139,-1.4556368497574002,-15.30507682465744,-12.467568887246621,26.977367231476702,34.802739930131516,2217.60009765625,1300.0,Technology,Software - Application
S&P Global Inc.,SPGI,427.93,1554,540.52001953125,839968.1103515625,-0.7272922934817213,5.434410300424279,12.832148883375321,26.310382429661388,6.307427905363716,76.0823093252042,576.9080808084611,424.76939078201775,Financial Services,Financial Data & Stock Exchanges
"IDEXX Laboratories, Inc.",IDXX,378.01,1570,711.1599731445312,1116521.157836914,-1.8764882772011344,6.144865372653436,68.2740952536652,88.13258198051143,7.639160603683512,85.78677455483887,769.97998046875,356.1400146484375,Healthcare,Diagnostics & Research
"Intuitive Surgical, Inc.",ISRG,322.5,2769,560.7899780273438,1552827.4491577148,-2.088174940664557,-0.2117517496644033,3.898096901777443,73.8883652797965,8.962665904651988,71.09422933368784,616.0,425.0,Healthcare,Medical Instruments & Supplies
Visa Inc.,V,276.65,2338,329.8999938964844,771306.1857299805,-3.8752965726947,-4.7852737716802904,8.25072372178201,19.2481452725409,11.81724224046754,42.3745363025761,374.1094090027169,297.3908678064768,Financial Services,Credit Services
Caterpillar Inc.,CAT,287.7,1356,639.0399780273438,866538.2102050781,1.4719593198471974,6.789660384386561,78.9490254015424,122.12025652670968,0.8610199656982039,98.54061748837375,644.5900268554688,264.2888526321059,Industrials,Farm & Heavy Construction Machinery
"O'Reilly Automotive, Inc.",ORLY,103.0,3566,94.54499816894531,337147.463470459,-1.1035568221911318,4.654640249626637,17.19098026217177,-8.208739641800667,13.038082130796116,51.34773059895094,108.72000122070312,79.58466339111328,Consumer Cyclical,Auto Parts
HEICO Corporation,HEI,172.0,1804,351.95001220703125,634917.8220214844,-1.3427084595132655,6.913943192936468,55.63728612639379,104.62210012036701,2.6929111030523654,93.29054936254039,361.69000244140625,216.52177987493334,Industrials,Aerospace & Defense
"Copart, Inc.",CPRT,52.0,21136,39.80500030517578,841318.4864501953,-0.28807081423914177,5.387873504761402,-28.446882004483143,-23.451922490046577,37.65857281686692,9.058247285021816,63.849998474121094,37.40999984741211,Industrials,Specialty Business Services
"Waste Management, Inc.",WM,177.77,3082,216.55999755859375,667437.9124755859,-0.9196182908313788,-0.8424891892454598,5.904286838169843,21.820328266070618,9.732546429050245,49.837125024373464,239.90927958145923,193.362342161683,Industrials,Waste Management
"Tesla, Inc.",TSLA,270.0,5022,446.3450012207031,2241544.596130371,-0.5824550704172601,1.888966091750717,10.670452982226694,65.31296341507523,10.521617938852398,81.55703569188462,498.8299865722656,214.25,Consumer Cyclical,Auto Manufacturers
Apple Inc.,AAPL,181.4,2865,259.635009765625,743854.3029785156,-0.2363074867915466,-4.197261942404759,11.26676502878246,43.128450807952035,10.042611683848797,75.843151978283,288.6199951171875,168.63337548243626,Technology,Consumer Electronics
Lam Research Corporation,LRCX,73.24,18667,216.13999938964844,4034685.3686065674,-1.9328469259562393,16.794554328908454,192.97438176814012,195.11195984386734,2.89334279289584,96.13451428922158,222.5800018310547,55.97733082779332,Technology,Semiconductor Equipment & Materials
Taiwan Semiconductor Manufacturing Company Limited,TSM,99.61,5850,332.0899963378906,1942726.4785766602,0.09645457238917497,3.9047625413206175,67.14573043932582,233.39021818882705,1.281212139355747,97.88121898802122,336.3999938964844,132.98125764074712,Technology,Semiconductors
